article_nr,title,description,brand,kba,part_state,quantity,vat,price,price_b2b,img_1,img_2,img_3,img_4,img_5,img_6
TODO,"AUDI A6 4F 05-11, FJEDERBEN FOR V",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/557/3/114511,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/557/3/82966,,,,
TODO,"AUDI A6 4F 05-11, FJEDERBEN FOR H",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/557/4/114512,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/557/4/72048,,,,
TODO,"AUDI A6 4F 05-11, SIDESPEJL EL",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/558/5/161485,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/558/5/150063,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/558/5/114516,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/558/5/68566,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/558/5/68310,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/558/5/67739
TODO,"AUDI A6 4F 05-11, VISKERARM",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,150,150,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/561/9/114533,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/561/9/66903,,,,
TODO,"AUDI A6 4F 05-11, KONTAKT SIDESPEJL",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,300,300,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/2/114536,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/2/67012,,,,
TODO,"AUDI A6 4F 05-11, AIRBAG ELBOKS",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,800,800,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/5/114539,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/5/67015,,,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/6/114540,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/6/67016,,,,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,1000,1000,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/7/114541,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/7/67017,,,,
TODO,"AUDI A6 4F 05-11, LOFTSLYS",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,300,300,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/8/150070,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/8/114542,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/8/67087,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/8/67018,,
TODO,"AUDI A6 4F 05-11, SELESTRAMMER",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/9/114543,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/562/9/67019,,,,
TODO,"AUDI A6 4F 05-11, SELESTRAMMER",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/0/114544,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/0/67020,,,,
TODO,"AUDI A6 4F 05-11, SIKKERHEDSELER BAG",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/1/114545,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/1/66993,,,,
TODO,"AUDI A6 4F 05-11, SIKKERHEDSELER BAG",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/2/114546,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/2/67021,,,,
TODO,"AUDI A6 4F 05-11, RAT  TIL AIRBAG",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/7/161487,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/7/150074,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/7/114551,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/7/67116,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/7/67091,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/7/67026
TODO,"AUDI A6 4F 05-11, KONTAKT VISKER",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,200,200,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/8/150075,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/8/114552,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/8/67092,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/8/67027,,
TODO,"AUDI A6 4F 05-11, KONTAKT BLINK",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,200,200,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/9/150076,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/9/114553,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/9/67093,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/563/9/67028,,
TODO,"AUDI A6 4F 05-11, FARTPILOT KONTAKT",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,150,150,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/0/150077,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/0/114554,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/0/67094,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/0/67029,,
TODO,"AUDI A6 4F 05-11, AIRBAG",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,600,600,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/1/114555,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/1/67030,,,,
TODO,"AUDI A6 4F 05-11, TELEFON ORG.MONTERET",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,1000,1000,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/3/150078,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/3/114556,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/3/67095,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/3/67031,,
TODO,"AUDI A6 4F 05-11, CIRKULATIONSPUMPE",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/5/150080,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/5/114558,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/5/67097,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/564/5/67033,,
TODO,"AUDI A6 4F 05-11, INSTRUMENT MED OMDR.",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,1000,1000,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/2/150083,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/2/114565,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/2/67100,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/2/67040,,
TODO,"AUDI A6 4F 05-11, KONTAKT LYS",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,200,200,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/8/150087,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/8/114571,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/8/67104,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/565/8/67044,,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/5/150089,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/5/114574,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/5/71507,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/5/71471,,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/7/150090,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/7/114575,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/7/78274,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/566/7/78152,,
TODO,"AUDI A6 4F 05-11, GEARSKIFTE AUTOMATIK",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/840/9/127033,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/840/9/115897,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/136/840/9/69615,,,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588856,0588887,0588ABI,0588ABZ",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/095/2/151280,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/095/2/128206,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/095/2/117070,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/095/2/71522,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/095/2/71491,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/3/152431,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/3/130431,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/3/119296,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/3/78290,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/3/78168,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/4/130432,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/4/119297,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/4/77201,,,
TODO,"AUDI A6 4F 05-11, RUDEMOTOR",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/5/130433,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/5/119298,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/590/5/78169,,,
TODO,"AUDI A6 4F 05-11, KONTAKT LYS",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/0/152436,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/0/130438,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/0/119303,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/0/76520,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/0/76425,
TODO,"AUDI A6 4F 05-11, SIDESPEJL EL",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/3/152437,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/3/130439,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/3/119304,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/3/77618,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/3/77526,
TODO,"AUDI A6 4F 05-11, SIDESPEJL EL",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/4/152438,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/4/130440,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/4/119305,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/4/89846,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/592/4/89686,
TODO,"AUDI A6 4F 05-11, FJEDERBEN FOR V",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/0/130442,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/0/119308,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/0/76427,,,
TODO,"AUDI A6 4F 05-11, FJEDERBEN FOR H",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,400,400,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/1/130443,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/1/119309,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/1/76428,,,
TODO,"AUDI A6 4F 05-11, VISKERARM",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,300,300,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/4/130446,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/4/119312,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/593/4/76431,,,
TODO,"AUDI A6 4F 05-11, INSTRUMENT MED OMDR.",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,1000,1000,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/3/161863,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/3/152441,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/3/130452,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/3/119318,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/3/76557,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/3/76522,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/3/76434
TODO,"AUDI A6 4F 05-11, SPEEDERPEDAL",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/5/152443,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/5/130454,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/5/119320,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/5/76524,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/5/76436,
TODO,"AUDI A6 4F 05-11, ABS PUMPE","4F0910517AC

PUMPE NR : 0265235100
                     4F0614517T
",AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,2500,2500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/6/152444,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/6/130455,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/6/119321,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/6/76525,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/594/6/76437,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,800,800,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/5/152447,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/5/130461,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/5/119327,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/5/76528,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/5/76443,
TODO,"AUDI A6 4F 05-11, RELÆ DIVERSE",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,500,500,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/7/130462,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/7/119328,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/595/7/76444,,,
TODO,"AUDI A6 4F 05-11, VISKERTRÆK",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,350,350,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/596/5/130470,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/596/5/119336,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/596/5/76452,,,
TODO,"AUDI A6 4F 05-11, RADIO TILBEHØR",,AUDI,"0588851,0588875,0588885,0588886,0588ABG,0588ABH,0588ABX,0588ABY",B,1,TODO,1200,1200,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/712/7/152802,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/712/7/131043,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/712/7/119909,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/712/7/77622,https://egluitistabcloudprod.blob.core.windows.net/pictures/50/P/137/712/7/77530,
